,text
122,"2024 9 May – An analysis of ocean protection for the global conservation target to protect at least 30% of the ocean by 2030 (30 by 30), finds around a quarter of marine protected area (MPA) coverage is not implemented, and one-third is incompatible with the conservation of nature due to the occurrence of highly destructive activities. According to the study, indicators of MPA quality, not only coverage, are needed. On 11 June, a study finds MPAs' effectiveness is not determined by any specific governance approaches or incentives, but the combination of many different integrated incentives."
123,"2024 10 May – A series of solar storms and intense solar flares impact the Earth, creating aurorae at more southerly and northerly latitudes than usual."
124,"2024 13 May – OpenAI reveals GPT-4o, its latest AI model, featuring improved multimodal capabilities in real time."
125,2024 15 May – Astronomers report an overview of preliminary analytical studies on returned samples of asteroid 101955 Bennu by the OSIRIS-REx mission.
126,"2024 15 May – SPECULOOS-3 b, an exoplanet nearly identical in size to Earth, is discovered orbiting an ultracool dwarf star as small as Jupiter and located 55 light-years from Earth."
127,"2024 15 May – Solar energy is combined with synthetic quartz to generate temperatures of more than 1,000°C. This proof-of-concept method shows the potential of clean energy to replace fossil fuels in heavy manufacturing, according to a research team at ETH Zurich."
128,"2024 16 May – A multimodal algorithm for improved sarcasm detection is revealed. Trained on a database known as MUStARD, it can examine multiple aspects of audio recordings and has 75% accuracy."
129,"2024 17 May – The world's smallest quantum light detector on a silicon chip is demonstrated, 50 times smaller than their previous version."
130,2024 20 May – The first measurements of an exoplanet's core mass are obtained by the James Webb Space Telescope. This reveals a surprisingly low amount of methane and a super-sized core within the super-Neptune WASP-107b.
131,"2024 23 May – New images from the Euclid space telescope are published, including a view of the Messier 78 star nursery."
132,"2024 23 May – Astronomers using TESS report the discovery of Gliese 12 b, a Venus-sized exoplanet located 40 light-years away, with an equilibrium temperature of 315 K (42 °C; 107 °F). This makes it the nearest, transiting, temperate, Earth-sized world located to date."
133,"2024 23 May – A team shows that iron instead of cobalt and nickel can be used as a cathode material in lithium-ion batteries, improving both safety and sustainability."
134,2024 24 May – Researchers from the Chinese Academy of Sciences report tuning of the Casimir effect using magnetic fields.
135,"2024 30 May – NASA reports that the James Webb Space Telescope has discovered JADES-GS-z14-0, the most distant known galaxy, which existed only 290 million years after the Big Bang. Its redshift of 14.32 exceeds the previous record of 13.2, set by JADES-GS-z13-0."
136,"2024 31 May – Biologists report that Tmesipteris oblanceolata, a fern ally plant, was found to contain the largest known genome."
137,"2024 23 May – Promising results of health and medical research are reported: a mRNA vaccine-like immunotherapy against brain cancer tested in a preliminary small trial (1 May), ferrets-tested mRNA vaccine against the clade 2.3.4.4b H5 bird flu amid concerning developments of the 2020–2025 H5N1 outbreak (23 May), mice-tested antibiotic lolamicin specific to Gram-negative bacteria that spares the gut microbiome (29 May)."
138,"2024 23 May – Hazard research is published: researchers report gas stoves disperse nitrogen dioxide – associated with respiratory conditions such as asthma – at unsafe levels also outside kitchens for hours (3 May), a preprint reports large amounts of microplastic in brains with concentrations being much larger in samples from 2024 compared to 2016 (6 May), an experimental study finds GPT-4-based large language model-powered conversational search increases selective exposure compared to conventional Web search (11 May), a study indicates fish oil omega-3 supplements, widely taken due to associations of high omega-3 levels and good health or cognition, might be a substantial risk factor for atrial fibrillation and stroke except for those who took these already having atrial fibrillation (21 May), and researchers report continued transmission of bird flu within dairy cattle and show that their raw milk can infect mice (24 May)."
139,2024 2 June – China successfully lands Chang'e 6 on the lunar far side. The robotic probe is set to begin sample collection before returning its 2 kg (4.4 lb) cargo on 4 June.
140,2024 4 June – The China National Space Administration's Chang'e 6 spacecraft lifts off from the surface of the far side of the Moon carrying samples of lunar soil and rocks back to Earth.
141,"2024 5 June – Astronomers identify ASKAP J1935+2148, the slowest-spinning neutron star ever recorded, which completes a rotation just once every 54 minutes."
142,"2024 8 June – A paper challenges the public perception and media depictions of large language models like especially ChatGPT, arguing that ""bullshitting"" in the sense of the book On Bullshit and a fundamentally flawed design are a better approach or terminology for understanding the flaws of these AI architectures or the behavior of the systems based on these as opposed to occasional or frequent ""hallucinations"". In agreement with many other experts, they find these models are in an ""important way indifferent to the truth of their outputs"". This notion has also been applied to Perplexity AI that is typically used for generating outputs that are less inaccurate than ChatGPT's – or contain fewer ""hallucinations"" – and which was scaled up substantially during 2024. An investigation by WIRED reportedly showed the chatbot at times closely paraphrased WIRED stories, and at times summarized stories inaccurately and with minimal attribution. Approaches to mitigate inaccurate information and hallucinations include the use of retrieval-augmented generation and ""grounding"" by configuring the corpus to be used by the AI which is used for example in the open source chatbot ""WikiChat"" that essentially prevents the hallucinations by retrieving facts only from a multilingual Wikipedia corpus, thereby providing a novel way to use Wikipedias. On 12 August, researchers demonstrate a open source 'AI Scientist' which generates novel research ideas, writes code, executes experiments, and writes a final research paper in the field of machine learning evaluated by an automated reviewer. The authors of the preprint advise ""treating generated papers as hints of promising ideas for practitioners to follow up on"". On 11 May, a study shows that 52% of ChatGPT answers to 517 programming questions on Stack Overflow contain incorrect information and 77% are verbose where study participants still preferred ChatGPT answers 35% of the time but also overlooked the misinformation in the ChatGPT answers 39% of the time."
143,2024 10 June – A study finds African elephants use personal name-like calls to address one another.
144,2024 11 June – Scientists report that serious kidney disease may be associated with human spaceflight.
145,2024 12 June – A study links the apparent gap in life expectancy between male and female organisms to reproductive cells driving sex-dependent differences in lifespan and suggests a role for vitamin D in improving longevity.
146,"2024 12 June – The Economist reports that China has become a ""scientific superpower"", citing numerous examples of its rapid development across a wide range of fields."
147,"2024 20 June – Following a surge in population of the Iberian lynx – from 62 mature individuals in 2001 to 648 in 2022 – the International Union for Conservation of Nature removes the animal from its ""endangered"" list, classing the animal as ""vulnerable"" instead."
148,"2024 24 June – The discovery of three Super-Earth candidates around HD 48948, a K-type dwarf star located 55 light-years away, is reported. One planet lies within the habitable zone."
149,2024 25 June – China's Chang'e 6 lunar exploration mission successfully returns to Earth after taking rock and soil samples from the far side of the Moon. The orbiter proceeded on a mission to carry out observations at Sun-Earth Lagrange point L2 after dropping the sample off to Earth.
150,"2024 12 June – Promising results of health and medical research are reported: a blood AI test of plasma proteins that predicts Parkinson's disease up to 7 years before symptom onset (18 June), walking programs as a cost-effective method against lower back pain recurrence (19 June)."
151,"2024 12 June – Hazard research is published: a study finds toxic metals including lead and arsenic in tampons (22 June), and a study indicates ocean water intrusion causing Antarctic ice-sheet grounding zones melting is a further tipping point in the climate system (25 June)."
152,2024 2 July – Two new satellite galaxies of the Milky Way are discovered – Sextans II and Virgo III.
153,2024 2 July – The fifth busy beaver is proven.
154,"2024 5 July – The first mouse model with a complete, functional human immune system is demonstrated."
155,2024 9 July – The first local extinction due to sea level rise in the United States is reported: that of the Key Largo tree cactus (Pilosocereus millspaughii) in Florida.
156,"2024 11 July – Using the Hubble Space Telescope, scientists resolve the 3D velocity dispersion profile of a dwarf galaxy for the first time, helping to uncover its dark matter distribution."
157,"2024 11 July – Researchers report to have developed a cell-free system that self-regenerates using carbon dioxide (CO2). They combined an artificial metabolic network that performs CO2 fixation with cell-free protein synthesis using recombinant elements. According to the study this demonstrates how metabolic and genetic networks can be integrated and simultaneously operated outside of the cellular context towards self-maintenance of biological networks, a hallmark of life."
158,"2024 15 July – Scientists announce the discovery of a lunar cave, approximately 250 miles (400 km) from Apollo 11's landing site."
159,"2024 15 July – China announces a plan to visit the asteroid 2015 XF261 in 2029. Similar to NASA's Double Asteroid Redirection Test (DART), a probe will impact the body at a speed of 10 kilometres per second, and the resulting changes to its orbit will be studied. This will occur when the asteroid is within seven million kilometres of Earth."
160,"2024 22 July – A study indicates polymetallic nodules produce oxygen without light on the abyssal seafloor, with relevance i.a. to potential deep sea mining."
161,2024 29 July – Scientists publish research on the simulation of gravitational waves from a failing warp drive.
162,"2024 30 July – A study (19 April) on North Sea oil and gas extraction finds that pollution can spike by more than 10,000% within half a kilometre around offshore drilling sites."
163,2024 30 July – The world's first fully automated dental procedure on a human is reported by Boston company Perceptive.
164,"2024 30 July – Promising results of health and medical research are reported: researchers report an apparent substantially improved prognoses of head and neck cancers if Fusobacterium is present in the patient's oral microbiome, a common bacteria of mouths thought to make bowel cancer worse (6 July), phase 3-trialed lenacapavir for HIV prevention (24 July)."
165,"2024 30 July – Hazard research is published: a study finds electric cars pose a twice as large collision risk to pedestrians in cities than internal combustion engine cars, likely largely due to being quieter (10 July), and a study reports substantial heavy metal contamination of cocoa products (31 July)."
166,"2024 1 August – A study in Nature finds that based on current policies, there is a 45% risk of at least one major tipping point by 2300, even if global warming is brought back to below 1.5 °C. The risk is ""strongly accelerated"" for peak warming above 2.0 °C. The Atlantic Meridional Overturning Current (AMOC) is identified as being at the most urgent risk of collapse – possibly occurring as early as 2040 – followed by the Amazon rainforest in the 2070s."
167,"2024 5 August – A study indicates vegetarian and vegan dog diets are healthier than both conventional meat and raw meat diets according to indicators like numbers of veterinary visits and reported veterinary assessment of being unwell, consistent with all related studies published to date."
168,2024 5 August – An analysis suggests hydraulic lifts may have been used to build ancient large Egyptian pyramids.
169,"2024 7 August – Scientists in Australia publish a new 400-year temperature reconstruction for the Coral Sea, showing that recent ocean heat has led to mass bleaching on the Great Barrier Reef."
170,"2024 8 August – A study on the terraforming of Mars suggests that releasing metal nanorods into the planet's atmosphere could warm it by 30 K, and would be far more efficient than trying to do so with greenhouse gases."
171,"2024 12 August – Liquid water is confirmed to be present at depths of 10 to 20 km (6.2 to 12.4 mi) below the surface of Mars, based on a new analysis of data from NASA's InSight lander."
172,"2024 12 August – An Earth-sized, ultra-short period exoplanet called TOI-6255b is found to be undergoing extreme tidal distortion, caused by the close proximity of its parent star. This has resulted in an egg-shaped planet, likely to be destroyed within 400 million years."
173,"2024 14 August – The World Health Organization (WHO) declares mpox a public health emergency of international concern for the second time in two years, following the spread of the virus in African countries."
174,"2024 14 August – Human ageing is found to progress in two accelerated bursts from the ages of 44 and 60, rather than being a gradual and linear process."
175,"2024 16 August – The Planetary Habitability Laboratory publishes a report concluding that the Wow! signal was likely been caused by a rare astrophysical event, the sudden brightening of a cold molecular cloud triggered by a stellar emission."
176,"2024 22 August – The first systematic analysis of 1,500 climate policy measures from 41 countries is published. Of the policy interventions that have been tried by 2022, it identifies 63 successful ones in terms of large trend breaks. The authors find that the introduction of a right combination of measures is crucial and that price-based instruments played a key role in these policy mixes."
177,"2024 23 August – BNT116, the world’s first mRNA lung cancer vaccine, begins a Phase I clinical trial in seven countries."
178,"2024 29 August – The first global analysis estimating inadequate intakes of 15 micronutrients using dietary intake data is published, suggesting over half of the global population do not consume enough iodine (68%), vitamin E (67%), calcium (66%), iron (65%), riboflavin (55%), folate (54%), and vitamin C (53%)."
179,"2024 14 August – Hazard research is published: a study finds the likelihood of receiving an dementia diagnosis varies 2-fold based on place of residence in the U.S. after adjusting for underlying sociodemographic and population dementia risk factors, indicating there to be further regional risk factors or especially worse diagnostics (16 Aug.), and a study shows of the infant and toddler foods in 10 major grocery chains, 60% failed to meet the nutritional requirements of the WHO's nutrient and promotion profile model (NPPM) (21 Aug.)."
180,"2024 4 September – The ESA/JAXA BepiColombo mission performs the closest ever flyby of a planet, as it speeds past Mercury at a distance of just 165 km (103 mi)."
181,2024 10 September – Researchers in Sweden demonstrate a battery made of carbon fibre composite as stiff as aluminium and energy-dense enough to be used commercially.
182,"2024 11 September – A study finds that the bluestreak cleaner wrasse (Labroides dimidiatus), a small tropical fish, may possess a form of self-awareness."
183,"2024 11 September – The Jülich Supercomputing Centre in Germany announces the start of installation for JUPITER, Europe's first exascale supercomputer."
184,"2024 12 September – OpenAI releases its ""o1"" series of large language models (LLMs), featuring improved capabilities in coding, math, science and other complex tasks."
185,2024 12 September – Jared Isaacman and Sarah Gillis complete the first commercial spacewalk and test slimmed-down spacesuits designed by SpaceX.
186,"2024 12 September – A study suggests Earth had planetary rings during the Ordovician period, formed from the breakup of an asteroid, from which material deorbited during the ~40 million years long Ordovician meteor event ~466 million years ago, resulting in an otherwise unlikely crater distribution."
187,"2024 12 September – A policy study finds bans of food waste disposals in landfills, which produce very large amounts of greenhouse gases, in five U.S. states had almost no effect with the exception of the state of Massachusetts. It suggests several makings that may have contributed to that states' success."
188,"2024 18 September – Scientists at CERN in Switzerland, using the ATLAS particle detector, observed quantum entanglement between quarks for the first time, and was also the highest-energy observation of entanglement so far."
189,"2024 18 September – The largest known pair of astrophysical jets is discovered within the radio galaxy Porphyrion, extending 23 million light-years from end to end. This surpasses Alcyoneus, the previous record holder at 16 million light-years."
190,"2024 19 September – A recently discovered near-Earth object called 2024 PT5 is calculated to become a ""mini-moon"" with a temporary orbit around Earth from September 29 until November 25. It will return in the year 2055."
191,"2024 23 September – Scientists publish the first multi-century, multi-model forecast of Antarctic Ice Sheet loss derived from global climate models, which indicates that the West Antarctic ice sheet may undergo a near-total collapse by 2300."
192,2024 23 September – Researchers demonstrate an asteroid deflection method using an X-ray pulse using a miniaturized mock asteroid for up to ~4 km diameter asteroids for which DART-like impacts are thought to be insufficient.
193,"2024 24 September – Researchers at ETH Zurich demonstrate an image-based AI model able to solve Google's reCAPTCHA v2, one of the world's most powerful tools for determining whether a user is human in order to deter bot attacks and spam."
194,"2024 30 September – Researchers develop a new method merging confocal fluorescence microscopy with microfluidic laminar flow, that can detect nanoparticles and viruses quickly. It can be achieved by using the 3D-printed microscopy approach, Brick-MIC."
195,"2024 23 September – Hazard research is published: a systematic analysis estimates 4.71 million deaths were associated with bacterial antimicrobial resistance (AMR) in 2021, estimates the trends in AMR mortality since 1990, and finds AMR could cause 39 million deaths worldwide between 2025 and 2050 (16 Sep.), researchers publish data on the detection of over 3000 food contact materials (FCMs) in humans (17 Sep.), and a study finds 189 (21%) of potential breast carcinogens have been measured in FCMs, indicating at least 76 of these leach into foods of populations (24 Sep.)."
196,"2024 1 October – The European Southern Observatory (ESO) reports the discovery of a sub-Earth-mass planet orbiting Barnard's star, the closest single star to the Sun at six light-years away."
197,"2024 2 October – Scientists announce the first ever complete mapping of the entire brain of a fruit fly, Drosophila melanogaster, with a detail of 50 million connections between more than 139,000 neurons."
198,2024 2 October – Scientists detect a new jet of carbon monoxide (CO) and previously unseen jets of carbon dioxide (CO2) gas on Centaur 29P by using the James Webb Space Telescope's Near-Infrared Spectrograph.
199,"2024 3 October – Google releases a new feature, ""Video Search"", which will allow people to ask a question while filming video of something, and get search results."
200,"2024 4 October – Scientists develop artificial plants with leaves using biological solar cells, which can perform respiration, photosynthesis and generate electricity."
201,2024 8 October – Researchers at REMspace achieve the first communication between two individuals in lucid dreams using specially designed equipments.
202,"2024 9 October – Pham Tiep, a professor of mathematics, solves two long-standing problems, the Height Zero Conjecture and the Deligne-Lusztig theory. Mathematicians believe that it may lead to advances in science and technology."
203,2024 9 October – Astronomers confirm that Jupiter's Great Red Spot is wobbling and fluctuating in size after observing its time-lapse video made from the images captured by the Hubble Space Telescope between December 2023 to March 2024.
204,"2024 9 October – An experimental study introduces a new cognitive fallacy, the ""illusion of information adequacy"". It suggests many ""assume that the cross-section of relevant information to which they are privy is sufficient to adequately understand the situation"" to be able to form a reasonable conclusion, opinion, or decision."
205,"2024 10 October – Scientists use a high-level machine learning model ""SHBoost"", to process data and estimate precise stellar properties for 217 million stars observed by the Gaia mission."
206,"2024 11 October – Astronomers observe the ""inside-out"" growth of NGC 1549 by using the James Webb Space Telescope. Researchers assume that it could solve the mystery of how these complex structures are being formed from gas clouds."
207,2024 12 October – The long-period comet C/2023 A3 (Tsuchinshan–ATLAS) makes its closest approach to Earth.
208,"2024 13 October – SpaceX achieves the first successful return and capture of a Super Heavy booster from Starship, the biggest and most powerful rocket ever to fly."
209,"2024 14 October – NASA launches the Europa Clipper from Kennedy Space Center, which will study the Jovian moon Europa while orbiting Jupiter."
210,"2024 15 October – Physicists and Researchers from the Institute of Nuclear Physics of the Polish Academy of Sciences achieve the first coherent picture of atomic nuclei made from only quarks and gluons, fusing this picture with the model of nuclei made from protons and neutrons."
211,2024 16 October – Researchers at the University of Birmingham Medical School encounter a human cadaver with three penises.
212,"2024 17 October – Scientists observe a black hole corona using NASA's Imaging X-ray Polarimetry Explorer, and determine its shape for the first time."
213,2024 17 October – A study of 25 crowdsourced ideas aimed at reducing political polarisation in the United States is published in the journal Science.
214,2024 17 October – Scientists build the world's smallest quantum computer using a single photon.
215,2024 19 October – Researchers develop a plant-based food supplement to protect bees' brains from neurotoxins.
216,"2024 23 October – Physicists observe a ""black hole triple"" for the first time."
217,2024 23 October – Astronomers using NASA/ESA's James Webb Space Telescope detect the first brown dwarf candidates outside the Milky Way in NGC 602.
218,2024 28 October – A study of the Uranian moon Miranda finds that it may contain a deep ocean of water below its surface.
219,2024 30 October – Researchers demonstrate using trained rats as cost-effective detection tools for illegal wildlife trade.
220,"2024 23 October – Promising results of health and medical research are reported: phase 2-trialed at-home transcranial direct current stimulation against major depressive disorder (21 Oct.), an analysis of electronic health records of 116 million US patients links semaglutide to a significantly reduced risk for Alzheimer's disease (24 Oct.)."
221,"2024 23 October – Hazard research is published: a study finds that the growth rate of wildfires across the western U.S. more than doubled between 2001 and 2020 and that 'fast fires' accounted for ~78% of structures destroyed in the contiguous U.S. (24 Oct.), and a study finds sugar rationing during the first 1000 days after conception reduced type 2 diabetes and hypertension risk by about 35% and 20% (31 Oct.)."
222,2024 14 November – AI-generated poetry is shown to be indistinguishable from human-written poetry and is rated more favourably.
223,"2024 14 November – A study in the British Journal of Sports Medicine finds that over-40s could live an extra five years if they adopted the exercise routines of the top 25% of the population, while the least physically active could potentially add 11 years to their lifespan."
224,2024 14 November – The first direct image of what the shape of a photon would look like is created.
225,"2024 15 November – Measles cases are reported to have surged across the world, with an estimated 10.3 million infections in 2023, a 20% increase from 2022."
226,2024 18 November – Coal ash from power plants across the United States is likely to contain up to 11 million tons of rare-earth elements – nearly eight times the amount the US has in domestic reserves – according to a study by the  University of Texas at Austin.
227,"2024 19 November – Northern and central parts of the Great Barrier Reef are reported to have suffered their worst coral bleaching on record, with up to 72 per cent mortality."
228,2024 19 November – Starship flight test 6 is launched.
229,2024 20 November – Climate change is found to have increased Atlantic hurricane wind speeds by 18 mph (29 km/h).
230,"2024 20 November – Progress on the Human Cell Atlas is reported, with a collection of 40 new scientific papers in Nature describing the project's latest discoveries."
231,"2024 21 November – The first close-up image of a star outside the Milky Way is reported, using the European Southern Observatory's Very Large Telescope Interferometer. The star WOH G64 is located in the Large Magellanic Cloud, about 160,000 light years away, and is shown to be surrounded by a torus-shaped cloud."
232,"2024 5 December – A single mutation known as Q226L is found to enhance the ability of H5N1 ('bird flu') to infect human cells, particularly in the respiratory tract. Previously, at least three mutations were thought to be required for the virus to infect people and spread between them."
233,"2024 7 December – A study in The Lancet finds that life expectancy progress in the United States is slowing. Only modest increases are likely by 2050, as the country falls below nearly all high-income and some middle-income countries in the global rankings."
234,"2024 9 December – Astronomers report using the infrared capabilities of the James Webb Space Telescope to find 100 of the smallest asteroids ever detected in the main belt, some measuring just 10 metres in diameter."
235,2024 10 December – AI-based transfer learning predicts that global warming will reach 3°C faster than previously expected.
236,2024 13 December – A new light-induced gene therapy using nanoparticles to target the mitochondria of cancer cells is demonstrated.
237,"2024 16 December – The China Aerospace Science and Technology Corporation (CASC) launches the first batch of the Guowang (Xingwang) megaconstellation, a planned constellation of 13,000 satellites using a Long March 5 rocket at the Wenchang Space Launch Site."
238,"2024 17 December – Zhúlóng (""Torch Dragon""), discovered by the James Webb Space Telescope, is reported as being the most distant known spiral galaxy ever found, seen as it appeared just 1.1 billion years after the Big Bang."
239,2024 20 December – A study published in Optica reports the first demonstration of quantum teleportation over fibers carrying conventional telecommunications traffic.
240,"2024 22 December – Researchers in South Korea demonstrate a way to revert cancer cells back to normal, healthy cells, using simulations to identify ""master molecular switches"" involved in cell differentiation."
241,"2024 24 December – The Parker Solar Probe breaks the previous record set in 2018 for the closest artificial object to the Sun by 6.1 million kilometers (3.8 million miles), becoming the closest and first man-made object to approach and ""touch"" the Sun."
242,"2024 27 December – A new technique for lifelike facial expressions on androids is reported by Osaka University, using waveform movements to dynamically express mood states, such as ""excited"" or ""sleepy""."
243,"2024 27 December – Carbon in outer space is shown to travel on a circumgalactic medium, resembling a series of giant conveyor belts, which can extend beyond our galaxy and up to 400,000 light-years in length."
244,2024 27 December – 2024 in spaceflight
245,2024 27 December – Category:Science events
246,2024 27 December – Category:Science timelines
247,2024 27 December – List of emerging technologies
248,2024 27 December – List of years in science
